User @,Comment Text,Time,Likes,Url
user3816039735543,10/10,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
mostlikelyseen,And my dad is gone lol,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
timderidiot,i'd give them a 8/10,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
proxy.za,9/10,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
mostlikelyseen,My mom won’t buy anything over 20 dollars,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
preston_246,7/10,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
uptownay,10/10,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
gurdasgill2account,I really need the pc bro I have a office settup,20-10-2023,11,https://www.tiktok.com/@tussalty/video/7291715930495651118
underscore_44,Get a job,5-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
kss_0023,They look so clean,20-10-2023,13,https://www.tiktok.com/@tussalty/video/7291715930495651118
mrparralelt,“They might” I need they are definitely worth it,19-11-2023,5,https://www.tiktok.com/@tussalty/video/7291715930495651118
powerweilder,$400 is crazy,20-10-2023,16,https://www.tiktok.com/@tussalty/video/7291715930495651118
brandonalexander916,Nahh💀,28-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
theyluv.pushpak,AGC aoty,20-10-2023,11,https://www.tiktok.com/@tussalty/video/7291715930495651118
gd_alex_gd,by a phone with 400dollars,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
ufw_.stxrms,I’m finna get those in black,20-10-2023,16,https://www.tiktok.com/@tussalty/video/7291715930495651118
.tomczk,almost first,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
yowyesyes,400 DOLLARS⁉️😦😮😯😧😲😱,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
soz.mido,Yo that prob feels nice,24-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
cizxzz,those are fire,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
truly_clips1,I really been wanting a pc for a long time but my mom couldn’t afford it even missed out on Christmas.,26-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
table_cabninet,Bro what r u talking abt. It’s a headphones video also just buy ur own pc 💀,19-1-2024,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
xmg42428,What do you think of the new Bose QuietComfort?,27-10-2023,7,https://www.tiktok.com/@tussalty/video/7291715930495651118
chowzy91,W content bro keep up the good work ❤️,20-10-2023,13,https://www.tiktok.com/@tussalty/video/7291715930495651118
zoldeye,What happened to bedwars :(,20-10-2023,16,https://www.tiktok.com/@tussalty/video/7291715930495651118
urkexjakov,I cannot play to much games i always get banned in valorant cus my game crash fortnite cant even work some times my google crash,20-10-2023,8,https://www.tiktok.com/@tussalty/video/7291715930495651118
_a.l.e.real_,yeah but still 400€😭,20-10-2023,11,https://www.tiktok.com/@tussalty/video/7291715930495651118
.chrisssssssssss,agc and veeze🔥,26-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
toby_c5510,Do you know any 100$ ones ?,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
natalie.ziakas,they are so good,23-10-2023,8,https://www.tiktok.com/@tussalty/video/7291715930495651118
kayfr253,400 is kinda I crazy but it sounds worth it kinda,20-10-2023,16,https://www.tiktok.com/@tussalty/video/7291715930495651118
pinchastal07,"o bought the xm4 for 300 and it's 😈
if you have money to waste extra so buy the xm5 for more classic look and better sound",1-11-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
pierfight,ken carson and veeze🔥,12-11-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
keoni_vander_elst,what’s the latency tho?,21-10-2023,7,https://www.tiktok.com/@tussalty/video/7291715930495651118
theyluv.pushpak,Ken is fire,20-10-2023,14,https://www.tiktok.com/@tussalty/video/7291715930495651118
mintyy618,I think the whxm4 are better for the money,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
festide,Y’all dragging bro for that pc💀,25-10-2023,7,https://www.tiktok.com/@tussalty/video/7291715930495651118
geam374,blue comment,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
chrislybear0,I dont have 400€🔥🔥🔥🔥,20-10-2023,14,https://www.tiktok.com/@tussalty/video/7291715930495651118
tk_h34,look at jbl tune 760nc,25-10-2023,7,https://www.tiktok.com/@tussalty/video/7291715930495651118
_theodor___,Can i Get a PC?,20-10-2023,13,https://www.tiktok.com/@tussalty/video/7291715930495651118
rxv_skiii,Cool😌,24-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
yvesss666,WAS HE LISTENING TO AGC????,20-10-2023,23,https://www.tiktok.com/@tussalty/video/7291715930495651118
marcoramirez0001,W headphones. Slide that pc my way,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
powerweilder,Sony never knows how to name any products 😭,20-10-2023,15,https://www.tiktok.com/@tussalty/video/7291715930495651118
evanfarris_,If you’re going all out just get the Bose qc ultras,2-11-2023,14,https://www.tiktok.com/@tussalty/video/7291715930495651118
cartierknight,W SONG!,20-10-2023,13,https://www.tiktok.com/@tussalty/video/7291715930495651118
luke.futt,I got em and they are so worth it,20-10-2023,15,https://www.tiktok.com/@tussalty/video/7291715930495651118
life_is_toast_real,Nah bro I need a pc I can't afford that thing,20-10-2023,12,https://www.tiktok.com/@tussalty/video/7291715930495651118
offthegrams,that's cool 😎,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
lilebony0,i’ve had these fit around a year and they r great,20-10-2023,16,https://www.tiktok.com/@tussalty/video/7291715930495651118
k3szzn,W coo,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
..thom4z,Your clothing style tho 😮‍💨,20-10-2023,15,https://www.tiktok.com/@tussalty/video/7291715930495651118
951.bran_,Bro I would rate these 9.8 cause the color and noise cancellation it’s fire 🔥,20-10-2023,16,https://www.tiktok.com/@tussalty/video/7291715930495651118
no_one2121,day 11 for asking for a pc,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
troop.angel,nice video bro ❤️,20-10-2023,11,https://www.tiktok.com/@tussalty/video/7291715930495651118
dalten1sbetter,I hope I win that pc so I can actually play games 🙏,20-10-2023,13,https://www.tiktok.com/@tussalty/video/7291715930495651118
oscarb.k,heyyy,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
shane..marshall,I’ve been here since 40k keep the grind going🔥,20-10-2023,15,https://www.tiktok.com/@tussalty/video/7291715930495651118
th0mas.xd,10 MIN AGO YOOOO,20-10-2023,11,https://www.tiktok.com/@tussalty/video/7291715930495651118
_theodor___,First,20-10-2023,11,https://www.tiktok.com/@tussalty/video/7291715930495651118
mobius.monarch,Pls bro select me for the giveaway I’ve been wanting to go pro and that pc u given away is exactly what I need,20-10-2023,13,https://www.tiktok.com/@tussalty/video/7291715930495651118
ikftech,iKF SOLO same😁,9-12-2023,5,https://www.tiktok.com/@tussalty/video/7291715930495651118
zbeeza506,idk,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
youluveldor,W headphones,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
riyamei144,"w review, considering the comfort, sound quality and noise canceling, it's worth it",20-10-2023,12,https://www.tiktok.com/@tussalty/video/7291715930495651118
balan_jbp,Bro can I get that Pc you given I do not have a good Pc my dad buy me a hp that do not work that good for games I can send you pictures if you want,20-10-2023,12,https://www.tiktok.com/@tussalty/video/7291715930495651118
silentserenadeowo,"Meh, I’m more of an ear bud user. But they look slick!",20-10-2023,11,https://www.tiktok.com/@tussalty/video/7291715930495651118
ilkan087,Pls pc so i can game with da homies,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
luis_thegemini,If sony makes a walkman im sold,20-10-2023,15,https://www.tiktok.com/@tussalty/video/7291715930495651118
dzh_king,yes Better then iPhone Headphones 100 Times,20-10-2023,17,https://www.tiktok.com/@tussalty/video/7291715930495651118
mitcheldewlal_m5,10 out of 10 it's looks nice and noise cancelation is fire,20-10-2023,12,https://www.tiktok.com/@tussalty/video/7291715930495651118
supersauce36,better last me 4 years for 4 hundred,24-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
cadeq27,Day 8 of comment for the pc give away,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
rasmuyhdbjo,The great chaos 🔛🔝,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
uitgedroogdekip,early,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
trendzttv,Can I get the PC on old GEN Xbox Consol and I’m trying to become a contact creator but I can’t because I’m on Consol and I edit all my videos,20-10-2023,14,https://www.tiktok.com/@tussalty/video/7291715930495651118
hearts4travv,w content also I need the pc because I have a all in one hp and it just broke,20-10-2023,11,https://www.tiktok.com/@tussalty/video/7291715930495651118
jonathangamori,"whoever says beats are better clearly havent bought these, i have the mx4’s and they’re the same thing. Best on the market",2-11-2023,7,https://www.tiktok.com/@tussalty/video/7291715930495651118
demon_king040,I don’t need but I want to game and try PC out please and thank you god bless 🙏🏽🙇🏾‍♂️,1-11-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
proxy.za,W🔥 review alot of creators have also reviewed them so I've heard about them alot but they really expensive but W features ngl,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
smhmagemenah,hello🥰🥰,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
shefw_el1_,pls pick me for the giveaway I wanna go pro but the PC I have always freezes every time I try playing a game,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
sebpoky,seenheise momentum 4 has better sound quality but the noise cancelling is not as good,11-12-2023,5,https://www.tiktok.com/@tussalty/video/7291715930495651118
mr.c.h.e.e.s.e7,nahh momentum 4s are cheaper and have same or better quality @Tussalty,30-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
littlehedgehog12,early,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
demon_king040,And you know what would also go with those a PC thanks you and stay blessed,1-11-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
argon.pl,im here for pc 😅,23-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
n_solo0,POV: telling my mama why she should buy me Spider-Man 2,23-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
ry4n_420,I bought the xm4s for 350 and they are completely worth it,23-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
autisthyttel,Whats their battery time and range?,23-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
annhmtrinh,got them a few weeks ago and they’re such a good investment,23-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
fasberbabu,can I have the $2000VRLA PC please 🙏,23-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
user919299192929102,Am I the only one who thing something happend to tussalty??,22-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
